[GIN] 2026/06/19 - 07:11:02 | 200 |     13.5581ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:02 | 200 |     13.5709ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:02 | 200 |     24.2164ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:02 | 200 |     14.5477ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:02 | 200 |     13.0675ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:02 | 200 |     22.5182ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:02 | 200 |      14.494ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:02 | 200 |     24.2891ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:02 | 200 |     14.5147ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:02 | 200 |     16.0663ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |      24.013ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |     14.9801ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |     24.7473ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |     14.4758ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |     23.9618ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |     14.5197ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |     23.6138ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |     14.5653ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |     23.8816ms |       127.0.0.1 | POST     "/api/embed"
